,Plasma,Liver,Kidney,Muscle,Fat,Ovary,Yolk
Kst,-1.88E-05,-1.26E-05,-1.87E-05,-1.85E-05,-1.85E-05,-5.95E-05,-0.000289132
Kint,-0.713668265,-0.713675416,-0.713668237,-0.713668186,-0.713668178,-0.713667596,-0.714224327
KurineC,-0.412181585,-0.281793786,-0.85044645,-0.412151047,-0.412147729,-0.41219124,-0.482863916
KmC,-0.153787434,-0.153913623,-0.153784639,-0.153779373,-0.153778498,-0.153780213,-0.172432454
Ka,0.751168796,0.751164442,0.751168799,0.751168804,0.751168805,0.751173083,0.75088693
QCC,-0.32553536,-0.467106453,0.114969823,-0.325444769,-0.325434921,-0.325523865,-0.260399693
QLC,0,0,0,0,0,0,0
QKC,0,0,0,0,0,0,0
QFC,0,0,0,0,0,0,0
QMC,0,0,0,0,0,0,0
QovaryC,0,0,0,0,0,0,0
BW,-1.048831929,-1.048967773,-1.048829441,-1.048824754,-1.048823974,-1.048777123,-1.065784384
VLC,0,0,0,0,0,0,0
VKC,0,0,0,0,0,0,0
VFC,0,0,0,0,0,0,0
VMC,0,0,0,0,0,0,0
VovaryC,0,0,0,0,0,0,0
VbloodC,0,0,0,0,0,0,0
Htc,-2.60E-05,-1.76E-05,-2.58E-05,-2.58E-05,-2.58E-05,-4.70E-05,1.17E-05
PL,-0.154255264,0.83028695,-0.154252914,-0.154248485,-0.154247749,-0.154290415,-0.169283054
PK,-4.14E-05,-2.85E-05,0.999927412,-4.16E-05,-4.16E-05,-3.66E-05,0.000366497
PM,-0.000519791,-0.000356491,-0.0005203,0.999347825,-0.000521419,-0.000558467,0.003781247
Povary,-0.000102464,-6.99E-05,-0.000102389,-0.000102248,-0.000102225,0.999807569,0.999505333
PF,-4.84E-05,-3.31E-05,-4.84E-05,-4.84E-05,0.999859472,-6.78E-05,0.000109957
PRest,-0.037566958,-0.025731261,-0.037588311,-0.037628395,-0.037635042,-0.037571342,-0.030043475
Free,0,0,0,0,0,0,0
Ay,0,0,0,0,0,0,0
Ky,-7.13E-05,-4.87E-05,-7.13E-05,-7.12E-05,-7.12E-05,-0.000123042,0.999348254
Kw,-1.21E-05,-8.22E-06,-1.20E-05,-1.20E-05,-1.20E-05,-2.09E-05,-0.000270964
tlag,6.60E-06,4.47E-06,6.58E-06,6.54E-06,6.53E-06,1.20E-05,0.051516911
tsig,-2.39E-05,-1.63E-05,-2.39E-05,-2.39E-05,-2.39E-05,-4.09E-05,0.104674163
s,-1.77E-05,-1.20E-05,-1.77E-05,-1.76E-05,-1.76E-05,-3.08E-05,-0.750677623
talbumen,-3.70E-05,-2.52E-05,-3.70E-05,-3.69E-05,-3.69E-05,-6.42E-05,-0.000244039
tlay1,0.000187825,0.000128317,0.000187777,0.000187688,0.000187673,0.000320663,-0.536118495
Rwhitefor,-1.21E-05,-8.22E-06,-1.20E-05,-1.20E-05,-1.20E-05,-2.09E-05,-0.000276448
